Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Front Raise And Pullover,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Barbell,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/273/Male/l/273_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/273/Male/l/273_2.jpg']"
Dumbbell seated box jump,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-78e-dumbbell-seated-box-jump-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-78e-dumbbell-seated-box-jump-m4-16x9.jpg']"
Middle Back Shrug,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/172/Male/l/172_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/172/Male/l/172_2.jpg']"
Incline face-down bar front raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,E-Z Curl Bar,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-12n-incline-face-down-bar-front-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-12n-incline-face-down-bar-front-raise-m2-16x9.jpg']"
Butt-Ups,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/127/Male/l/127_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/127/Male/l/127_2.jpg']"
Band Good Morning (Pull Through),"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Bands,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/740/Male/l/740_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/740/Male/l/740_2.jpg']"
Bodyweight Reverse Lunge,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16a-reverse-lunge-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16a-reverse-lunge-m2-16x9.jpg']"
Seated One-Arm Dumbbell Palms-Down Wrist Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Dumbbell,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/387/Male/l/387_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/387/Male/l/387_2.jpg']"
Glute Kickback,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Glutes,Body Only,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/98/Male/l/98_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/98/Male/l/98_2.jpg']"
Treadmill jogging,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.3,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-80m-treadmill-jogging-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-80m-treadmill-jogging-m1-16x9.jpg']"
Plate Pinch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Other,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/237/Male/l/237_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/237/Male/l/237_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/237/Male/l/237_3.jpg']"
Yates Row Reverse Grip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Barbell,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/4321/Male/l/4321_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/4321/Male/l/4321_2.jpg']"
Linear Acceleration Wall Drill,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Body Only,Average,8.3,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/951/Male/l/951_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/951/Male/l/951_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/951/Male/l/951_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/951/Male/l/951_4.jpg']"
